,base,id,coords,Latitude,Longitude
4,Davis-Monthan,CE 1SEQ 570-9SAC 570-1Oracle,"(32.5975, -110.888889)",32.5975,-110.88888899999999
5,Davis-Monthan,CE 2SEQ 571-16SAC 571-1Benson,"(31.982222, -110.185556)",31.982221999999997,-110.185556
6,Davis-Monthan,CE 3SEQ 571-15SAC 571-2Benson,"(31.959167, -110.373889)",31.959166999999997,-110.37388899999999
7,Davis-Monthan,CE 4SEQ 571-17SAC 571-3Mescal,"(31.971389, -110.508333)",31.971389000000002,-110.50833300000001
8,Davis-Monthan,CE 5SEQ 571-18SAC 571-4Pantano,"(31.956944, -110.663056)",31.956944,-110.66305600000001
9,Davis-Monthan,CE 6SEQ 571-14SAC 571-5Continental,"(31.753611, -110.890833)",31.753611,-110.890833
10,Davis-Monthan,CE 7SEQ 571-12SAC 571-6Amado,"(31.644167, -111.070833)",31.644167,-111.07083300000001
11,Davis-Monthan,CE 8SEQ 571-13SAC 571-7Continental,"(31.903333, -110.998889)",31.903333,-110.99888899999999
12,Davis-Monthan,CE 9SEQ 570-3SAC 571-8Palo Alto,"(31.888056, -111.389167)",31.888056,-111.38916699999999
13,Davis-Monthan,CE 10SEQ 570-2SAC 571-9Three Points,"(32.004722, -111.355278)",32.004721999999994,-111.355278
14,Davis-Monthan,CE 11SEQ 570-1SAC 570-2Three Points,"(32.100833, -111.2625)",32.100833,-111.2625
15,Davis-Monthan,CE 12SEQ 570-7SAC 570-3Rillito,"(32.367778, -111.461944)",32.367778,-111.46194399999999
16,Davis-Monthan,CE 13SEQ 570-6SAC 570-4Rillito,"(32.359167, -111.318056)",32.359167,-111.318056
17,Davis-Monthan,CE 14SEQ 570-5SAC 570-5Rillito,"(32.523333, -111.239167)",32.523333,-111.239167
18,Davis-Monthan,CE 15SEQ 570-4SAC 570-6Rillito,"(32.427778, -111.1375)",32.427778,-111.1375
19,Davis-Monthan,CE 16SEQ 570-8SAC 570-7Oracle Junction,"(32.748611, -111.116111)",32.748611,-111.116111
20,Davis-Monthan,CE 17SEQ 571-11SAC 570-8Oracle Junction,"(32.652778, -111.028889)",32.652778000000005,-111.02888899999999
21,Davis-Monthan,CE 18SEQ 571-10SAC 570-9Oracle Junction,"(32.478611, -110.929167)",32.478611,-110.92916699999999
22,Davis-Monthan,WSA,"(32.143056, -110.822222)",32.143056,-110.822222
